article_id,source,date,title,description,url,snippet,PRIMARY_TOPIC,SENTIMENT (Pos/Neg/Neu),is_north_american,leaning
L121,newyorker.com,2015-12-20,"Democratic Debate Offers Up No Winners, but a Clear Choice - The New Yorker","Democratic Debate Offers Up No Winners, but a Clear Choice  The New Yorker",https://news.google.com/rss/articles/CBMiowFBVV95cUxPT3hKSkFjVURTaW5PRy1BbFVuNjVRVFhiMVh2c3dIVUUxZVV4ZEZqWkxfaDBTLWo0LTJlTUU2OE9rVjkteXVkejRiR0wwVTd0YXNwR1ROS0NSX0tLUjFhcUxuSW1MdVdZZmtUUEExTEpadWFxc3hseGNhdXNwSWpZQlhuV3VacU96cWlCWUhHMDd0RDBwM3ZPOGZrS0ZpOUpkck5n?oc=5&hl=en-CA&gl=CA&ceid=CA:en,,ELECTION,NEU,TRUE,Left
837,breitbart.com,2023-10-09,Watch Live: Donald Trump Speaks in New Hampshire,"Former President Donald Trump will speak to supporters in Wolfeboro, New Hampshire, on Monday, October 9.",https://www.breitbart.com/2024-election/2023/10/09/watch-live-donald-trump-speaks-in-new-hampshire/,"Former President Donald Trump will speak to supporters in Wolfeboro, New Hampshire, on Monday, October 9.",ELECTION,NEU,TRUE,Right
G147,vox.com,2017-06-01,Donald Trump has tweeted climate change skepticism 115 times. Here’s all of it. - vox.com,Donald Trump has tweeted climate change skepticism 115 times. Here’s all of it.  vox.com,https://news.google.com/rss/articles/CBMirgFBVV95cUxPU1M3NTRxLUhFTWtNdERPRkdfOWlVTk9iai1fTkZRNHZMYTBuM2paV0xWMHhyeF91WEZXUlpINnRfajBoRWJfa2lLY1FzWmxHZ3hheWJ6ZTJhek1kYWwzRGZqQlVzWVhSSUdNb3NDRVBEb0ZZRElQTmJ1NThjay1VSk9VQ3RCaElMNGJiVG1ydmdad3F6dDV2amdKR001eW5HZjdGN1BWbEhaM3R6S3c?oc=5&hl=en-CA&gl=CA&ceid=CA:en,,MEDIA,NEG,TRUE,Left
G121,NPR,2017-01-20,Donald Trump's Been Saying The Same Thing For 30 Years - NPR,Donald Trump's Been Saying The Same Thing For 30 Years  NPR,https://news.google.com/rss/articles/CBMimgFBVV95cUxPUjJpM2dBeGFBX2hoc1dQVGpSMUwtbUcwem9RTWNod1BrM0FPZUxxOTZZTUpQQlFQZmpsQjc0cGdtdHFjSEJPcEVING1Kc0dLaW0wLXdFN2F5MEZ2S3d1amFXVXd0eFo2Q050aXdMZHlxNzJsNHR4M19CY3B6RXFPanVVT0pjdVI2UHJyTWVpZlczeC1YMDBybTZ3?oc=5&hl=en-CA&gl=CA&ceid=CA:en,,MEDIA,NEG,TRUE,Center
G193,The New York Times,2018-03-17,How Trump Consultants Exploited the Facebook Data of Millions (Published 2018) - The New York Times,How Trump Consultants Exploited the Facebook Data of Millions (Published 2018)  The New York Times,https://news.google.com/rss/articles/CBMijwFBVV95cUxPWVlPUmJ3dDRZamlrVnJINlROTEc4azdicnUxNHVfUkFxanpDY3lpOGhuTlkySEJIdGx5UlZmUlQ2ZkNUOUU3WWo4bUh0dnVRTkY4dnY2Ulc5U3R6M0FHUW9QcnFUT1QxTm1BLUZmLWZMeC1XOV80STRiYkFDejM3Wkx0Z0YzeWtZcGZhd19iOA?oc=5&hl=en-CA&gl=CA&ceid=CA:en,,ELECTION,NEG,TRUE,Left
1375,nypost.com,2025-07-02,Donald Trump Jr.-backed GrabAGun going public,Online gun retailer GrabAGun is listing on the New York Stock Exchange July 16 — in a SPAC backed by Donald Trump Jr. and 1789 Capital founder Omeed Malik.,https://nypost.com/2025/07/02/business/donald-trump-jr-backed-grabagun-goes-public/,"Online gun retailer GrabAGun is listing on the New York Stock Exchange July 16 — in a SPAC backed by Donald Trump Jr. and 1789 Capital founder Omeed Malik.

T...",PERSONAL,NEU,TRUE,Right
992,businessinsider.com,2024-04-23,Donald Trump will get $1.3 billion in Trump Media bonus shares if the stock doesn't crash today,"If Trump Media can trade above $17.50 a share by Tuesday's closing bell, company insiders are set to receive millions in extra shares.",https://markets.businessinsider.com/news/stocks/trump-media-stock-crash-sell-shares-djt-truth-social-spac-2024-4,"Donald Trump is set to receive millions in extra shares if Trump Media trades above $17.50 through Tuesday's session.

That would see the former president award...",PERSONAL,NEU,TRUE,Center
375,businessinsider.com,2022-03-02,Michael Cohen says Chris Christie is 'very strongly' considering a presidential run against Donald Trump,"Chris Christie is 'very strongly' considering running for president, especially if Trump decides to run, according to Michael Cohen.",https://www.businessinsider.com/chris-christie-very-strongly-considering-running-for-president-2022-3,"Michael Cohen says Chris Christie 'is considering, very strongly' running against Donald Trump.

In his latest podcast, Cohen described talking to Christie rece...",ELECTION,NEU,TRUE,Center
445,nypost.com,2022-06-10,Donald Trump dismisses daughter Ivanka’s Jan. 6 Committee testimony,"Former President Donald Trump dismissed his own daughter, Ivanka's testimony to the House Select Committee investigating the Jan. 6 Capitol riot.",https://nypost.com/2022/06/10/donald-trump-dismisses-ivankas-jan-6-committee-testimony/,"Former President Donald Trump on Friday dismissed his own daughter’s testimony to the House Select Committee investigating the Jan. 6 Capitol riot, after a po...",JAN6,NEG,TRUE,Right
L146,vox.com,2015-07-08,"The real costs of Donald Trump’s anti-Mexican slur controversy, explained - vox.com","The real costs of Donald Trump’s anti-Mexican slur controversy, explained  vox.com",https://news.google.com/rss/articles/CBMid0FVX3lxTE9CVEhNcWUxaGg3Qm1oVE9JcGRNcEM4dEZQZlVlTFd4cjFjRDZMb3A3VUkteko5ZmRYNW1lbFo5WE1rTWZjOHlPdDNpc1JzWWJZUXhOajJJZDhmbHNkWko3bkdBR2ViRDNkdloteUhDU3pYQ1NFQ2lZ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,,ELECTION,NEG,TRUE,Left
