Category,Keyword,TFIDF_Score
ELECTION,president,0.361
ELECTION,biden,0.212
ELECTION,poll,0.209
ELECTION,republican,0.208
ELECTION,leads,0.207
ELECTION,2024,0.177
ELECTION,iowa,0.170
ELECTION,watch,0.165
ELECTION,rally,0.163
ELECTION,new,0.156
GOP,president,0.270
GOP,gop,0.213
GOP,gov,0.193
GOP,desantis,0.185
GOP,endorsed,0.185
GOP,rep,0.185
GOP,ron,0.164
GOP,republican,0.152
GOP,politico,0.152
GOP,endorses,0.137
JAN6,january,0.354
JAN6,committee,0.338
JAN6,president,0.167
JAN6,house,0.166
JAN6,investigating,0.166
JAN6,select,0.150
JAN6,lost,0.150
JAN6,testimony,0.124
JAN6,subpoena,0.124
JAN6,hearing,0.124
LEGAL,trial,0.250
LEGAL,new,0.202
LEGAL,jury,0.200
LEGAL,court,0.200
LEGAL,president,0.195
LEGAL,york,0.190
LEGAL,documents,0.150
LEGAL,investigation,0.150
LEGAL,judge,0.142
LEGAL,jean,0.133
MEDIA,president,0.271
MEDIA,twitter,0.235
MEDIA,facebook,0.172
MEDIA,platform,0.162
MEDIA,cnn,0.161
MEDIA,new,0.161
MEDIA,musk,0.142
MEDIA,oversight,0.142
MEDIA,ban,0.134
MEDIA,media,0.125
PERSONAL,new,0.224
PERSONAL,president,0.224
PERSONAL,jr,0.201
PERSONAL,golf,0.163
PERSONAL,york,0.155
PERSONAL,ivanka,0.149
PERSONAL,politico,0.143
PERSONAL,maryanne,0.140
PERSONAL,melania,0.116
PERSONAL,barry,0.116
POLICY,gov,0.346
POLICY,archives,0.346
POLICY,president,0.339
POLICY,american,0.277
POLICY,national,0.256
POLICY,presidency,0.228
POLICY,project,0.190
POLICY,signs,0.180
POLICY,pbs,0.174
POLICY,fact,0.138
